Time,Body 0 x Pos (m), Body 0 y Pos (m),Body 1 x Pos (m), Body 1 y Pos (m)
[0.000000,0.000000,0.000000,0.000000,0.000000
[0.100000,0.075000,0.000000,0.037500,0.000000
[0.200000,0.300000,0.000000,0.150000,0.000000
[0.300000,0.675000,0.000000,0.337500,0.000000
[0.400000,1.200000,0.000000,0.600000,0.000000
[0.500000,1.875000,0.000000,0.937500,0.000000
[0.600000,2.700000,0.000000,1.350000,0.000000
[0.700000,3.675000,0.000000,1.837500,0.000000
[0.800000,4.800000,0.000000,2.400000,0.000000
[0.900000,6.075000,0.000000,3.037500,0.000000
[1.000000,7.500000,0.000000,3.750000,0.000000
[1.100000,9.075001,0.000000,4.537500,0.000000
[1.200000,10.800001,0.461894,5.400001,0.000000
[1.300000,12.380064,1.374171,6.337501,0.000000
[1.400000,14.002563,2.310948,7.350000,0.000000
[1.500000,15.667497,3.272198,8.437500,0.000000
[1.600000,17.353649,4.196698,9.600000,0.000000
[1.700000,19.039801,5.023198,10.837501,0.483545
[1.800000,20.725952,5.751698,11.975151,1.140388
[1.900000,22.412104,6.382198,13.179736,1.835875
[2.000000,24.098255,6.914698,14.451257,2.428537
[2.100000,25.784407,7.349197,15.756245,2.963232
[2.200000,27.470558,7.685698,17.061234,3.399926
[2.300000,29.156710,7.924198,18.366222,3.738620
[2.400000,30.842861,8.064697,19.671211,3.979315
[2.500000,32.529015,8.107197,20.976200,4.122009
[2.600000,34.215164,8.051697,22.281189,4.166703
[2.700000,35.901314,7.898197,23.586178,4.113398
[2.799999,37.587463,7.646697,24.891167,3.962092
[2.899999,39.273613,7.297196,26.196156,3.712786
[2.999999,40.959763,6.849696,27.501144,3.365480
[3.099999,42.645912,6.304196,28.806133,2.920175
[3.199999,44.332062,5.660696,30.111122,2.376869
[3.299999,46.018211,4.919195,31.416111,1.735563
[3.399999,47.704361,4.079695,32.721100,0.996258
[3.499999,49.390511,3.142195,34.026089,0.158952
[3.599999,51.076660,2.106695,35.331078,0.000000
[3.699999,52.762810,0.973194,36.636066,0.000000
[3.799999,54.448959,0.000000,37.941055,0.000000
[3.899998,56.135109,0.000000,39.246044,0.000000
[3.999998,57.821259,0.000000,40.551033,0.000000
[4.099998,59.507408,0.000000,41.856022,0.000000
[4.199998,61.193558,0.000000,43.161011,0.000000
[4.299998,62.879707,0.000000,44.466000,0.000000
[4.399998,64.565857,0.000000,45.770988,0.000000
[4.499998,66.252007,0.000000,47.075977,0.000000
[4.599998,67.938156,0.000000,48.380966,0.000000
[4.699998,69.624306,0.000000,49.685955,0.000000
[4.799998,71.310455,0.000000,50.990944,0.000000
[4.899998,72.996605,0.000000,52.295933,0.000000
[4.999998,74.682755,0.000000,53.600922,0.000000
[5.099998,76.368904,0.000000,54.905910,0.000000
[5.199997,78.055054,0.000000,56.210899,0.000000
[5.299997,79.741203,0.000000,57.515888,0.000000
[5.399997,81.427353,0.000000,58.820877,0.000000
[5.499997,83.113503,0.000000,60.125866,0.000000
[5.599997,84.799652,0.000000,61.430855,0.000000
[5.699997,86.485802,0.000000,62.735844,0.000000
[5.799997,88.171951,0.000000,64.040833,0.000000
[5.899997,89.858101,0.000000,65.345818,0.000000
[5.999997,91.544250,0.000000,66.650803,0.000000
[6.099997,93.230400,0.000000,67.955788,0.000000
[6.199996,94.916550,0.000000,69.260773,0.000000
[6.299996,96.602699,0.000000,70.565758,0.000000
[6.399996,98.288849,0.000000,71.870743,0.000000
[6.499996,99.974998,0.000000,73.175728,0.000000
[6.599996,101.661148,0.000000,74.480713,0.000000
[6.699996,103.347298,0.000000,75.785698,0.000000
[6.799996,105.033447,0.000000,77.090683,0.000000
[6.899996,106.719597,0.000000,78.395668,0.000000
[6.999996,108.405746,0.000000,79.700653,0.000000
[7.099996,110.091896,0.000000,81.005638,0.000000
[7.199996,111.778046,0.000000,82.310623,0.000000
[7.299995,113.464195,0.000000,83.615608,0.000000
[7.399995,115.150345,0.000000,84.920593,0.000000
[7.499995,116.836494,0.000000,86.225578,0.000000
[7.599995,118.522644,0.000000,87.530563,0.000000
[7.699995,120.208794,0.000000,88.835548,0.000000
[7.799995,121.894943,0.000000,90.140533,0.000000
[7.899995,123.581093,0.000000,91.445518,0.000000
[7.999995,125.267242,0.000000,92.750504,0.000000
[8.099995,126.953392,0.000000,94.055489,0.000000
[8.199995,128.639542,0.000000,95.360474,0.000000
[8.299995,130.325699,0.000000,96.665459,0.000000
[8.399996,132.011856,0.000000,97.970444,0.000000
[8.499996,133.698013,0.000000,99.275429,0.000000
[8.599997,135.384171,0.000000,100.580414,0.000000
[8.699997,137.070328,0.000000,101.885399,0.000000
[8.799997,138.756485,0.000000,103.190384,0.000000
[8.899998,140.442642,0.000000,104.495369,0.000000
[8.999998,142.128799,0.000000,105.800354,0.000000
[9.099998,143.814957,0.000000,107.105339,0.000000
[9.199999,145.501114,0.000000,108.410324,0.000000
[9.299999,147.187271,0.000000,109.715309,0.000000
[9.400000,148.873428,0.000000,111.020294,0.000000
[9.500000,150.559586,0.000000,112.325279,0.000000
[9.600000,152.245743,0.000000,113.630264,0.000000
[9.700001,153.931900,0.000000,114.935249,0.000000
[9.800001,155.618057,0.000000,116.240234,0.000000
[9.900002,157.304214,0.000000,117.545219,0.000000
